Height: 195, TxCount: 300, E2E_TPS: 9.62, Pure_TPS: 9.36, Submit_TPS: 136.04, TotalTxs: 870, TotalBlocks: 196
Height: 196, TxCount: 300, E2E_TPS: 12.94, Pure_TPS: 12.59, Submit_TPS: 135.99, TotalTxs: 1170, TotalBlocks: 197
Height: 197, TxCount: 300, E2E_TPS: 16.23, Pure_TPS: 15.80, Submit_TPS: 135.83, TotalTxs: 1470, TotalBlocks: 198
Height: 198, TxCount: 300, E2E_TPS: 19.53, Pure_TPS: 19.01, Submit_TPS: 136.39, TotalTxs: 1770, TotalBlocks: 199
Height: 199, TxCount: 300, E2E_TPS: 22.76, Pure_TPS: 22.15, Submit_TPS: 135.92, TotalTxs: 2070, TotalBlocks: 200
Height: 200, TxCount: 300, E2E_TPS: 26.06, Pure_TPS: 25.36, Submit_TPS: 135.91, TotalTxs: 2370, TotalBlocks: 201
Height: 201, TxCount: 300, E2E_TPS: 29.25, Pure_TPS: 28.46, Submit_TPS: 136.04, TotalTxs: 2670, TotalBlocks: 202
Height: 202, TxCount: 300, E2E_TPS: 32.52, Pure_TPS: 31.65, Submit_TPS: 135.98, TotalTxs: 2970, TotalBlocks: 203
Height: 203, TxCount: 300, E2E_TPS: 35.78, Pure_TPS: 34.83, Submit_TPS: 135.91, TotalTxs: 3270, TotalBlocks: 204
Height: 204, TxCount: 300, E2E_TPS: 38.92, Pure_TPS: 37.89, Submit_TPS: 135.46, TotalTxs: 3570, TotalBlocks: 205
Height: 205, TxCount: 300, E2E_TPS: 42.08, Pure_TPS: 40.97, Submit_TPS: 135.71, TotalTxs: 3870, TotalBlocks: 206
Height: 206, TxCount: 300, E2E_TPS: 45.33, Pure_TPS: 44.13, Submit_TPS: 135.66, TotalTxs: 4170, TotalBlocks: 207
Height: 207, TxCount: 300, E2E_TPS: 48.57, Pure_TPS: 47.28, Submit_TPS: 135.60, TotalTxs: 4470, TotalBlocks: 208
Height: 208, TxCount: 300, E2E_TPS: 51.79, Pure_TPS: 50.42, Submit_TPS: 135.50, TotalTxs: 4770, TotalBlocks: 209
Height: 209, TxCount: 300, E2E_TPS: 55.00, Pure_TPS: 53.54, Submit_TPS: 136.03, TotalTxs: 5070, TotalBlocks: 210
Height: 210, TxCount: 300, E2E_TPS: 58.21, Pure_TPS: 56.67, Submit_TPS: 135.92, TotalTxs: 5370, TotalBlocks: 211
Height: 211, TxCount: 300, E2E_TPS: 61.41, Pure_TPS: 59.79, Submit_TPS: 135.82, TotalTxs: 5670, TotalBlocks: 212
Height: 212, TxCount: 300, E2E_TPS: 64.63, Pure_TPS: 62.93, Submit_TPS: 135.76, TotalTxs: 5970, TotalBlocks: 213
Height: 213, TxCount: 300, E2E_TPS: 67.79, Pure_TPS: 66.00, Submit_TPS: 135.58, TotalTxs: 6270, TotalBlocks: 214
Height: 214, TxCount: 300, E2E_TPS: 70.96, Pure_TPS: 69.09, Submit_TPS: 136.08, TotalTxs: 6570, TotalBlocks: 215
Height: 215, TxCount: 300, E2E_TPS: 74.17, Pure_TPS: 72.21, Submit_TPS: 136.03, TotalTxs: 6870, TotalBlocks: 216
Height: 216, TxCount: 300, E2E_TPS: 77.39, Pure_TPS: 75.35, Submit_TPS: 136.00, TotalTxs: 7170, TotalBlocks: 217
Height: 217, TxCount: 300, E2E_TPS: 80.31, Pure_TPS: 78.21, Submit_TPS: 135.47, TotalTxs: 7470, TotalBlocks: 218
Height: 218, TxCount: 300, E2E_TPS: 83.51, Pure_TPS: 81.32, Submit_TPS: 135.42, TotalTxs: 7770, TotalBlocks: 219
Height: 219, TxCount: 300, E2E_TPS: 86.68, Pure_TPS: 84.41, Submit_TPS: 135.33, TotalTxs: 8070, TotalBlocks: 220
Height: 220, TxCount: 300, E2E_TPS: 89.85, Pure_TPS: 87.50, Submit_TPS: 135.26, TotalTxs: 8370, TotalBlocks: 221
Height: 221, TxCount: 300, E2E_TPS: 93.00, Pure_TPS: 90.57, Submit_TPS: 135.80, TotalTxs: 8670, TotalBlocks: 222
Height: 222, TxCount: 300, E2E_TPS: 96.20, Pure_TPS: 93.68, Submit_TPS: 135.77, TotalTxs: 8970, TotalBlocks: 223
Height: 223, TxCount: 300, E2E_TPS: 99.40, Pure_TPS: 96.80, Submit_TPS: 135.75, TotalTxs: 9270, TotalBlocks: 224
Height: 224, TxCount: 300, E2E_TPS: 102.33, Pure_TPS: 99.66, Submit_TPS: 135.37, TotalTxs: 9570, TotalBlocks: 225
Height: 225, TxCount: 300, E2E_TPS: 105.21, Pure_TPS: 102.48, Submit_TPS: 135.59, TotalTxs: 9870, TotalBlocks: 226
Height: 226, TxCount: 300, E2E_TPS: 108.31, Pure_TPS: 105.50, Submit_TPS: 135.47, TotalTxs: 10170, TotalBlocks: 227
Height: 227, TxCount: 300, E2E_TPS: 111.45, Pure_TPS: 108.56, Submit_TPS: 135.40, TotalTxs: 10470, TotalBlocks: 228
Height: 228, TxCount: 300, E2E_TPS: 114.62, Pure_TPS: 111.64, Submit_TPS: 135.37, TotalTxs: 10770, TotalBlocks: 229
Height: 229, TxCount: 300, E2E_TPS: 117.75, Pure_TPS: 114.70, Submit_TPS: 135.30, TotalTxs: 11070, TotalBlocks: 230
